term,category,hot_technology
PostgreSQL,Object oriented data base management software,TRUE
Productivity,Project management software,FALSE
Prometheus,Data base user interface and query software,TRUE
Puppet,Configuration management software,TRUE
Quantitative analysis,Analytical or scientific software,FALSE
RESTful API,Web platform development software,FALSE
Resource management,Mobile location based services software,FALSE
Resource planning,Enterprise resource planning ERP software,FALSE
Snapchat,Instant messaging software,FALSE
Snowflake,Data mining software,TRUE
Statistical analysis,Analytical or scientific software,FALSE
Supply,Inventory management software,FALSE
Swift,Object or component oriented development software,TRUE
!Trak-it Solutions !Trak-it HR,Human resources software,FALSE
100 Plus Hatch Pattern Library,Pattern design software,FALSE
1003 Uniform Residential Loan Application,Financial analysis software,FALSE
1099 ProsSoftware,Tax preparation software,FALSE
1CadCam Unigraphics,Computer aided manufacturing CAM software,FALSE
1ST Pricing Window & Door Toolkit,Procurement software,FALSE
20-20 Technologies 20-20 Design,Computer aided design CAD software,FALSE
24SevenOffice Project,Project management software,FALSE
2AB iLock Security Services,Access software,FALSE
360 Analytics eQUEST,Analytical or scientific software,FALSE
3D Nature LLC Visual Nature Studio,Computer aided design CAD software,FALSE
3D Nature LLC World Construction Set,Computer aided design CAD software,FALSE
3D Printing,Computer aided design CAD software,FALSE
3D Static Strength Prediction Program 3DSSPP,Analytical or scientific software,FALSE
3D Systems Geomagic Design X,Computer aided design CAD software,FALSE
3D Systems GibbsCAM,Computer aided manufacturing CAM software,FALSE
3D graphic design,Graphics or photo imaging software,FALSE
3D graphics,Graphics or photo imaging software,FALSE
3D motion analysis,Analytical or scientific software,FALSE
3D urban simulation modeling,Computer aided design CAD software,FALSE
3DGrid HIPAA Checkup,Compliance software,FALSE
3M Electronic Monitoring,Data base user interface and query software,FALSE
3M Encoder,Categorization or classification software,FALSE
3M Post-it App,Word processing software,FALSE
3PL Central,Materials requirements planning logistics and supply chain software,FALSE
3dMapper,Analytical or scientific software,FALSE
4n6xprt Systems StiffCalcs,Computer aided design CAD software,FALSE
5AM Glassbox Translational Research,Data base user interface and query software,FALSE
80-20 Software Leaders4,Compliance software,FALSE
911 system information databases,Data base user interface and query software,FALSE
@Road GeoManager,Materials requirements planning logistics and supply chain software,FALSE
A Large Outdoor Fire plume Trajectory model Flat Terrain ALOFT-FT,Analytical or scientific software,FALSE
A mathematical programming language AMPL,Analytical or scientific software,FALSE
A programming language APL,Development environment software,FALSE
A&D Technology iTest,Analytical or scientific software,FALSE
A-Systems JobView,Accounting software,FALSE
A-T Solutions Easy Street Draw,Graphics or photo imaging software,FALSE
A1-Law,Data base user interface and query software,FALSE
AABACH Graphic Systems DIGRA,Industrial control software,FALSE
AASoftTech Web Organization Chart,Charting software,FALSE
ABB CPM4Metals,Materials requirements planning logistics and supply chain software,FALSE
ABB MicroSCADA Pro DMS,Industrial control software,FALSE
ABB MicroSCADA Pro SYS,Industrial control software,FALSE
ABB Optimize IT Predict & Control,Facilities management software,FALSE
ABB PSGuard,Industrial control software,FALSE
ABB Production Planning,Materials requirements planning logistics and supply chain software,FALSE
ABB RobotStudio,Development environment software,FALSE
ABC Compiler,Development environment software,FALSE
ABC programming language,Development environment software,FALSE
ABC: the AspectBench Compiler for AspectJ,Object or component oriented development software,FALSE
ABELSoft ABELDent,Medical software,FALSE
ABOL Manifest,Label making software,FALSE
ACCA Manual J,Analytical or scientific software,FALSE
ACCUCert,Compliance software,FALSE
ACD Systems Canvas,Graphics or photo imaging software,FALSE
ACE Dental,Medical software,FALSE
ACI Appraiser's Choice,Desktop publishing software,FALSE
ACI TaskTracker,Project management software,FALSE
ACL Analytics,Financial analysis software,FALSE
ACL Audit Exchange,Analytical or scientific software,FALSE
ACL Business Assurance Analytics,Financial analysis software,FALSE
ACMS Casewatch Millenium,Medical software,FALSE
ACOM Solutions RAPID EMR,Medical software,FALSE
ACS Technologies ACS Financial Suite,Accounting software,FALSE
ACS Technologies HeadMaster,Enterprise resource planning ERP software,FALSE
ACT Contractors Forms,Information retrieval or search software,FALSE
ACT Discover,Data base user interface and query software,FALSE
ACT WorkKeys,Analytical or scientific software,FALSE
ACT! ACT4Advisors,Customer relationship management CRM software,FALSE
ACT! Premium,Customer relationship management CRM software,FALSE
AD OPT Altitude,Calendar and scheduling software,FALSE
ADAPT-Modeler,Analytical or scientific software,FALSE
ADC Legal Systems Perfect Practice,Data base user interface and query software,FALSE
"ADERANT Expert Back Office, Powered by Keystone",Enterprise resource planning ERP software,FALSE
ADERANT Expert Matter Center,Data base user interface and query software,FALSE
ADInstruments LabChart,Medical software,FALSE
ADL Data Systems OptimumClinicals Electronic Health Record,Medical software,FALSE
ADMS pollution modeling,Analytical or scientific software,FALSE
ADO.NET,Data base user interface and query software,FALSE
ADP Drive DMS for Accounting,Accounting software,FALSE
ADP Employease,Human resources software,FALSE
ADP Enterprise HR,Human resources software,FALSE
ADP Enterprise eTIME,Time accounting software,FALSE
ADP HR/Benefits Solution,Human resources software,FALSE
ADP HR/Profile,Human resources software,FALSE
ADP PC/Payroll,Time accounting software,FALSE
ADP Pay eXpert,Time accounting software,FALSE
ADP Super Report Writer,Data base reporting software,FALSE
ADP Workforce Now,Human resources software,FALSE
ADP eTIME,Time accounting software,FALSE
ADP ezLaborManager,Time accounting software,FALSE
ADP/Vantra VOLTS,Desktop communications software,FALSE
ADS Advantage,Customer relationship management CRM software,FALSE
ADi SmartBOL,Materials requirements planning logistics and supply chain software,FALSE
AEC Design Group CADPIPE,Computer aided design CAD software,FALSE
AEC Software FastTrack Schedule,Project management software,FALSE
AEMC DataView,Analytical or scientific software,FALSE
AERONET calculator,Analytical or scientific software,FALSE
AES MailSTAR,Materials requirements planning logistics and supply chain software,FALSE
AESDirect,Data base user interface and query software,FALSE
AFEXDirect,Point of sale POS software,FALSE
AGCO Advanced Technology Solutions Fieldstar,Industrial control software,FALSE
AGCO GTA Software Suite,Analytical or scientific software,FALSE
AIGHD OASIS,Medical software,FALSE
AIQ Systems TradingExpert Pro,Financial analysis software,FALSE
AIRMaster+,Analytical or scientific software,FALSE
AJAX,Web platform development software,TRUE
ALK Technologies FleetSuite,Route navigation software,FALSE
ALK Technologies PC*Miler,Route navigation software,FALSE
AMCS Platform,Analytical or scientific software,FALSE
AMG Teleran SalesInSync,Customer relationship management CRM software,FALSE
AMPL,Analytical or scientific software,FALSE
AMS REALTIME Projects,Project management software,FALSE
AMS Services AMS 360,Enterprise resource planning ERP software,FALSE
AMS Services AMS Sagitta,Enterprise resource planning ERP software,FALSE
AMTdirect,Data base user interface and query software,FALSE
ANCA ToolRoom,Computer aided manufacturing CAM software,FALSE
ANISN dose assessment computer code,Analytical or scientific software,FALSE
ANSYS AQWA,Analytical or scientific software,FALSE
ANSYS ASAS,Analytical or scientific software,FALSE
ANSYS LS-DYNA,Analytical or scientific software,FALSE
ANSYS Mechanical,Analytical or scientific software,FALSE
ANSYS Multiphysics,Analytical or scientific software,FALSE
ANSYS simulation,Analytical or scientific software,FALSE
AOL MapQuest,Map creation software,FALSE
AP ENPS,Video creation and editing software,FALSE
API Healthcare ActiveStaffer,Calendar and scheduling software,FALSE
API Navigator,Human resources software,FALSE
APLAC,Analytical or scientific software,FALSE
APPCA Personal Chef Office,Data base user interface and query software,FALSE
ARC Logics Sword,Compliance software,FALSE
ARCOM Masterspec,Data base user interface and query software,FALSE
ARES Corporation PRISM Project Estimator,Financial analysis software,FALSE
ARK Software Ark Shelter,Data base user interface and query software,FALSE
ARMON Technologies XLActuary,Financial analysis software,FALSE
ARSoftware WinSMAC,Computer aided design CAD software,FALSE
ARfit,Analytical or scientific software,FALSE
AS Software AS-OBGYN,Medical software,FALSE
AS/400 Database,Data base user interface and query software,FALSE
ASG Technologies ASG-Zeke,Data base reporting software,FALSE
ASI Client Acquisition Solution,Financial analysis software,FALSE
ASI DATAMYTE GageMetrics,Industrial control software,FALSE
ASI DATAMYTE QDA,Industrial control software,FALSE
ASI FrontDesk,Facilities management software,FALSE
ASI Point of Sale,Point of sale POS software,FALSE
ASIDATAMYTE DataMetrics,Industrial control software,FALSE
ASL HR Director,Human resources software,FALSE
ASPEN,Data base user interface and query software,FALSE
ASPEN PLUS,Analytical or scientific software,FALSE
ASR Software LWC-Plus,Computer aided design CAD software,FALSE
ASR Software Taper-Plus,Computer aided design CAD software,FALSE
ASR Software TopView LE,Computer aided design CAD software,FALSE
ASR Software TopView ME,Computer aided design CAD software,FALSE
ASSET JTAG ScanWorks,Analytical or scientific software,FALSE
AST Staff Matrix,Human resources software,FALSE
AT&T Troff,Desktop publishing software,FALSE
ATD protocol,WAN switching software and firmware,FALSE
ATLAS.ti,Analytical or scientific software,FALSE
ATMS StockTrack PLUS,Inventory management software,FALSE
ATX Total Accounting Office,Accounting software,FALSE
ATX Total Engagement Office,Accounting software,FALSE
ATX Total Tax Office,Tax preparation software,FALSE
AUDIT-C,Medical software,FALSE
AVEVA InTouch HMI,Industrial control software,FALSE
AVL AVL CRUISE,Analytical or scientific software,FALSE
AWS Elastic MapReduce (EMR),Business intelligence and data analysis software,FALSE
AZZ CardFile,Data base user interface and query software,FALSE
Ab Initio,Enterprise resource planning ERP software,FALSE
Abacus Data Solutions HearWare,Medical software,FALSE
Abacus Data Systems AbacusLaw,Data base user interface and query software,FALSE
Abacus Tax,Tax preparation software,FALSE
AbacusNext HotDocs,Document management software,FALSE
Abbott,Program testing software,FALSE
Abbott Informatics STARLIMS:LIMS,Analytical or scientific software,FALSE
AbbottSoft QuickFix,Data base user interface and query software,FALSE
Abilis CORIS Offender Management,Data base user interface and query software,FALSE
Ability Photopaint,Graphics or photo imaging software,FALSE
Abraxas Energy Consulting Metrix,Data base user interface and query software,FALSE
Absorption process simulation,Analytical or scientific software,FALSE
Abstraction plus reference plus synthesis A++,Development environment software,FALSE
AcaClone pDRAW32,Analytical or scientific software,FALSE
AcaStat,Analytical or scientific software,FALSE
Academic educational,Computer based training software,FALSE
Acarda CallAssist,Expert system software,FALSE
Acarda ForbiddenCalls,Data base user interface and query software,FALSE
Acarda Sales Technologies Acarda Outbound,Helpdesk or call center software,FALSE
Accela KIVA DMS,Enterprise resource planning ERP software,FALSE
Accela PERMITS Plus,Compliance software,FALSE
Accela Tidemark Advantage,Compliance software,FALSE
Accelerated life testing,Analytical or scientific software,FALSE
Accellos Real Dispatch,Mobile location based services software,FALSE
Accelrys Cerius2,Analytical or scientific software,FALSE
Accelrys DeCipher,Analytical or scientific software,FALSE
Accelrys FELIX,Analytical or scientific software,FALSE
Accelrys Insight II,Computer aided design CAD software,FALSE
Accelrys Materials Studio,Analytical or scientific software,FALSE
Accelrys Pipeline Pilot,Analytical or scientific software,FALSE
Accelrys QAUNTA,Analytical or scientific software,FALSE
Access Software AIRPAX,Facilities management software,FALSE
Access management,Access software,FALSE
AccessData FTK,Network monitoring software,FALSE
Acclaim Legal Acclaim DepoManage,Data base user interface and query software,FALSE
Account management,Accounting software,FALSE
AccountMate Software AccountMate,Accounting software,FALSE
Accountants Templates JAZZ-It!,Enterprise resource planning ERP software,FALSE
AccountantsWorld Payroll Relief,Accounting software,FALSE
Accounting compliance,Compliance software,FALSE
Accounting fraud detection,Financial analysis software,FALSE
Accounts payable,Accounting software,FALSE
Accounts receivable,Accounting software,FALSE
Accounts receivables,Accounting software,FALSE
Accra Med Software Filopto,Medical software,FALSE
AccuWeather Galileo,Graphics or photo imaging software,FALSE
Accuity EPICWare,Financial analysis software,FALSE
Acculaw Court Reporters Billing Scheduling Job Management System ABSMS,Enterprise resource planning ERP software,FALSE
Accurate NXG,Accounting software,FALSE
Accuship Star,Materials requirements planning logistics and supply chain software,FALSE
Accutech Systems Corporation AccuFarm-MGR,Enterprise resource planning ERP software,FALSE
Accvision ABMIS,Inventory management software,FALSE
AceTools.biz Ace Translator,Foreign language software,FALSE
AcmeStudio,Requirements analysis and system architecture software,FALSE
AcornSystems Corporate Performance Management,Enterprise resource planning ERP software,FALSE
AcorynSystems Activity Based Costing/Management ABC/M,Accounting software,FALSE
Acoustica Mixcraft,Music or sound editing software,FALSE
Acrendo A.I.med,Medical software,FALSE
Acrendo Medical Software Family Practice EMR,Medical software,FALSE
Acrendo Medical Software Ob/Gyn EMR,Medical software,FALSE
Acresso InstallAnywhere,Object or component oriented development software,FALSE
Acronis Recovery Expert,Backup or archival software,FALSE
Act!,Customer relationship management CRM software,FALSE
Act-3D Quest3D,Video creation and editing software,FALSE
Actano Rplan,Project management software,FALSE
Actimize Brokerage Compliance Solutions,Compliance software,FALSE
ActionWare,Customer relationship management CRM software,FALSE
Activant Solutions Activant Prophet 21,Accounting software,FALSE
Active Data Online WebChat,Network conferencing software,FALSE
Active Network EventRegister,Project management software,FALSE
Active directory,Internet directory services software,FALSE
Actsoft Comet Tracker,Data base user interface and query software,FALSE
Actuarial Systems Corporation AIM,Human resources software,FALSE
Actuarial Systems Corporation Compliance Testing,Human resources software,FALSE
Actuarial Systems Corporation DV Direct,Human resources software,FALSE
Actuarial Systems Corporation Defined Benefit,Human resources software,FALSE
Actuarial Systems Corporation Document Generation and Management,Document management software,FALSE
Actuate BIRT,Business intelligence and data analysis software,FALSE
Actuate DocBook,Web page creation and editing software,FALSE
Actuate Eclipse BIRT,Data base reporting software,FALSE
AcuPartner Professional,Medical software,FALSE
AcuStaf,Calendar and scheduling software,FALSE
AcuityPro,Medical software,FALSE
AdRelevance,Data base reporting software,FALSE
AdSense Tracker,Data base user interface and query software,FALSE
AdTrack Customer Acquisition Management CAM,Customer relationship management CRM software,FALSE
Adapt It,Foreign language software,FALSE
AdaptaSoft CyberPay,Accounting software,FALSE
Adaptive Metadata Manager,Metadata management software,FALSE
Adaptive Planning,Enterprise resource planning ERP software,FALSE
Adaptive conjoint analysis ACA,Analytical or scientific software,FALSE
Adaptive optics AO simulation,Analytical or scientific software,FALSE
Addison Health Systems WritePad EHR,Medical software,FALSE
Address Management System AMS,Data base user interface and query software,FALSE
Ademero Content Central,Document management software,FALSE
Adept Scientific GRAMS,Analytical or scientific software,FALSE
Adeptia ETL Suite,Development environment software,FALSE
Aderant CompuLaw,Calendar and scheduling software,FALSE
Aderant legal,Expert system software,FALSE
Adexa Supply Chain Planning,Materials requirements planning logistics and supply chain software,FALSE
Adexa eGPS Suite,Enterprise resource planning ERP software,FALSE
Adlib Express,Document management software,FALSE
Adlib Information Systems Adlib Archive,Data base user interface and query software,FALSE
"Admissions, discharge, and transfer ADT",Medical software,FALSE
Adobe AIR,Development environment software,FALSE
Adobe Acrobat,Document management software,TRUE
Adobe Acrobat Pro Extended,Document management software,FALSE
Adobe Acrobat Reader,Document management software,FALSE
Adobe Acrobat Writer,Word processing software,FALSE
Adobe ActionScript,Object or component oriented development software,FALSE
Adobe Audition,Music or sound editing software,FALSE
Adobe Authorware,Computer based training software,FALSE
Adobe Captivate,Computer based training software,FALSE
Adobe ColdFusion,Web platform development software,FALSE
Adobe Connect,Network conferencing software,FALSE
Adobe Contribute,Web page creation and editing software,FALSE
Adobe Director,Video creation and editing software,FALSE
Adobe Distiller,Desktop publishing software,FALSE
Adobe Dreamweaver,Web page creation and editing software,FALSE
Adobe Experience Manager (AEM),Web page creation and editing software,FALSE
Adobe Flex,Web platform development software,FALSE
Adobe FrameMaker,Desktop publishing software,FALSE
Adobe FreeHand MX,Graphics or photo imaging software,FALSE
Adobe Human Capital Application Solution Accelerator,Human resources software,FALSE
Adobe Illustrator,Graphics or photo imaging software,TRUE
Adobe ImageReady,Graphics or photo imaging software,FALSE
Adobe InCopy,Word processing software,FALSE
Adobe InDesign,Desktop publishing software,TRUE
Adobe LifeCycle ES,Document management software,FALSE
Adobe LifeCycle Enterprise Suite,Document management software,FALSE
Adobe LifeCycle Production Print ES3,Document management software,FALSE
Adobe LiveMotion,Graphics or photo imaging software,FALSE
Adobe Macromedia HomeSite,Web page creation and editing software,FALSE
Adobe PageMaker,Desktop publishing software,FALSE
Adobe Persuasion,Presentation software,FALSE
Adobe Photoshop,Graphics or photo imaging software,TRUE
Adobe Photoshop Lightroom,Graphics or photo imaging software,FALSE
Adobe PostScript,Development environment software,FALSE
Adobe Premiere Pro,Video creation and editing software,FALSE
Adobe Presenter,Presentation software,FALSE
Adobe RoboHelp,Graphical user interface development software,FALSE
Adobe eLearning Suite,Computer based training software,FALSE
Adstra Systems ADSTRA Management,Medical software,FALSE
Adtec Agency Manager,Customer relationship management CRM software,FALSE
Advance Ortho Systems Program Director,Medical software,FALSE
Advanced Chemistry Development ACD/1D nuclear magnetic resonance NMR processor,Analytical or scientific software,FALSE
Advanced Chemistry Development Analytical Laboratory,Analytical or scientific software,FALSE
Advanced Data Systems MedicsDocAssistant for Pediatrics,Medical software,FALSE
Advanced Data Systems MedicsRis,Medical software,FALSE
Advanced Dimensional Management 3D-GD&T,Analytical or scientific software,FALSE
Advanced Graphics Technology ProCogo,Map creation software,FALSE
Advanced Logic Technology WellCAD,Computer aided design CAD software,FALSE
Advanced Management Systems Software for Wineries,Enterprise resource planning ERP software,FALSE
Advanced Micro Systems 1099-Etc,Tax preparation software,FALSE
Advanced Portfolio Technologies Report Builder,Financial analysis software,FALSE
Advanced Portfolio Technologies Simulator,Financial analysis software,FALSE
Advanced Processing and Imaging OptiView ECM,Document management software,FALSE
Advanced Retail Management Systems Retail Pro,Point of sale POS software,FALSE
Advanced Technologies Class Act,Project management software,FALSE
Advanced Veterinary Services Ranch Vision,Enterprise resource planning ERP software,FALSE
Advanced Visual Systems AVS/Express,Graphics or photo imaging software,FALSE
Advanced boolean expression language ABEL,Development environment software,FALSE
Advanced business application programming ABAP,Object or component oriented development software,FALSE
Advanced computer simulation language ACSL,Development environment software,FALSE
Advanced numerical,Analytical or scientific software,FALSE
Advanced technologies and oceanic procedures ATOP,Expert system software,FALSE
Advantage Information Systems The Agency Advantage,Enterprise resource planning ERP software,FALSE
Advantage Signature Marketing Group Web Master,Customer relationship management CRM software,FALSE
Advantage Software Chiropractic Advantage,Medical software,FALSE
Advantage Software Physical Therapy Advantage,Medical software,FALSE
Advantage Software Podiatry Advantage,Medical software,FALSE
Advantage Software Psych Advantage,Medical software,FALSE
Advantage Software Total Eclipse,Word processing software,FALSE
AdvantageLaw WinVantage,Data base user interface and query software,FALSE
Advantos Systems DataTrust Enterprise,Data base user interface and query software,FALSE
Advent Axys,Financial analysis software,FALSE
AdviceAmerica AdvisorVision,Financial analysis software,FALSE
Advisory World ICE,Financial analysis software,FALSE
"Adxstudio, for Microsoft",Content workflow software,FALSE
AeroHydro MultiSurf,Computer aided design CAD software,FALSE
AeroPlanner,Information retrieval or search software,FALSE
Aeronautical charts,Charting software,FALSE
Aerotriangulation adjustment,Map creation software,FALSE
Aestiva Employee Time Clock,Time accounting software,FALSE
Aestiva Purchase Order,Procurement software,FALSE
AetherPalm InfusiCalc,Medical software,FALSE
Afcom Datasafe Computer Services FlexiBake,Enterprise resource planning ERP software,FALSE
Affiliated Computer Services ACS FIREHOUSE,Data base user interface and query software,FALSE
After the Deadline,Word processing software,FALSE
Ag Connections Land.db,Data base user interface and query software,FALSE
Ag Leader Technology SMS Advanced,Data base user interface and query software,FALSE
AgData Blue Skies Accounting,Accounting software,FALSE
AgInfoLink Meat Inventory Tracking System MITS,Inventory management software,FALSE
AgTerra Technologies AgTrac,Data base user interface and query software,FALSE
Age progression,Analytical or scientific software,FALSE
Agency Management Systems AMS 360,Document management software,FALSE
Agency Master,Enterprise resource planning ERP software,FALSE
Agency Software AgencyPro,Enterprise resource planning ERP software,FALSE
Agency management,Enterprise resource planning ERP software,FALSE
AgencyPro,Data base user interface and query software,FALSE
Agent Business Builder,Customer relationship management CRM software,FALSE
Agevo Farm Manager,Enterprise resource planning ERP software,FALSE
Agile Product Lifecyle Management PLM,Enterprise resource planning ERP software,FALSE
AgileView Software SmartView,Computer based training software,FALSE
Agilent Advanced Design System ADS,Computer aided design CAD software,FALSE
Agilent CGH Analytics,Analytical or scientific software,FALSE
Agilent ChemStation,Analytical or scientific software,FALSE
Agilent Technologies GeneSpring GX,Analytical or scientific software,FALSE
Agiliance Compliance Manager,Compliance software,FALSE
Agisoft Metashape,Analytical or scientific software,FALSE
AgriSoft/CMC AgriSoft/ERP,Enterprise resource planning ERP software,FALSE
Agronomic modeling,Analytical or scientific software,FALSE
Ahrefs Site Explorer,Web platform development software,FALSE
Ai Squared ZoomText,Device drivers or system software,FALSE
Aipotu,Analytical or scientific software,FALSE
Air dispersion modeling,Analytical or scientific software,FALSE
Air quality modeling,Analytical or scientific software,FALSE
Air-Trak Cloudberry,Mobile location based services software,FALSE
AirMagnet Enterprise,Network monitoring software,FALSE
AirSmith FlightPrompt,Data base user interface and query software,FALSE
Aircraft noise monitoring,Data base user interface and query software,FALSE
Aircraft regulation databases,Data base user interface and query software,FALSE
Airdata,Project management software,FALSE
Airline Pilots Daily Aviation Log PPC,Data base user interface and query software,FALSE
Airline global distribution systems GDS,Data base user interface and query software,FALSE
Aknaf ADVANTAGE Salon Software and Spa,Data base user interface and query software,FALSE
Alara CRystalView,Analytical or scientific software,FALSE
Alarm management,Industrial control software,FALSE
Alarm,Facilities management software,FALSE
Alcestis,Data base user interface and query software,FALSE
Alchemy Systems SISTEM,Computer based training software,FALSE
Aldata Warehouse Management,Materials requirements planning logistics and supply chain software,FALSE
Aldelo Systems Aldelo for Restaurants Pro,Point of sale POS software,FALSE
Aldus FreeHand,Graphics or photo imaging software,FALSE
Alert Technologies OpsCenter,Project management software,FALSE
Alerton Ascent Compass,Industrial control software,FALSE
Alfresco Software Alfresco,Document management software,FALSE
Algae,Analytical or scientific software,FALSE
AlgoLab Raster to Vector Conversion Toolkit,Data conversion software,FALSE
Algorithm Compu-Ceph,Medical software,FALSE
Algorithmic language ALGOL,Development environment software,FALSE
Alias Wavefront Design Studio,Computer aided design CAD software,FALSE
Alibre Design,Computer aided design CAD software,FALSE
Aline GRC,Compliance software,FALSE
Aljex Inventory,Inventory management software,FALSE
AllNetic Working Time Tracker,Human resources software,FALSE
Allaire ColdFusion,Web platform development software,FALSE
Allegro Landmark,Map creation software,FALSE
Allen Bradley PanelView,Industrial control software,FALSE
Allergenic diet,Analytical or scientific software,FALSE
Alliance Automotive Shop Controller,Facilities management software,FALSE
Allied Financial Software Act4Advisors,Customer relationship management CRM software,FALSE
Allscripts Canopy,Medical software,FALSE
Allscripts EHR,Medical software,FALSE
Allscripts PM,Medical software,FALSE
Allscripts Payerpath,Medical software,FALSE
Allscripts Professional EHR,Medical software,FALSE
Allscripts Professional PM,Accounting software,FALSE
Allscripts Sunrise,Medical software,FALSE
Allscripts healthcare automation,Medical software,FALSE
Allstar Software Systems Kofax,Document management software,FALSE
Almaris E-Learning Systems Financial Accounting Tutor,Computer based training software,FALSE
Alpha Four,Data base management system software,FALSE
Alpha Software Alpha Five,Data base user interface and query software,FALSE
AlphaDent,Medical software,FALSE
Alstom ESARAD,Analytical or scientific software,FALSE
Alstom ESATAN,Analytical or scientific software,FALSE
AltaPoint Data Systems AltaPoint Dental,Medical software,FALSE
AltaPoint Data Systems AltaPoint Vision,Medical software,FALSE
Altair Engineering MotionSolve,Analytical or scientific software,FALSE
Alteer Office,Medical software,FALSE
Alteer Premiere,Medical software,FALSE
Altera MAX,Analytical or scientific software,FALSE
Altera Quartus II,Analytical or scientific software,FALSE
Altera hardware description language AHDL,Development environment software,FALSE
Alteryx,Business intelligence and data analysis software,TRUE
Altia Design,Graphical user interface development software,FALSE
Altium Designer,Computer aided design CAD software,FALSE
